folio;folio_integrante;resultado_ent1;resultado_ent2;resultado_ent3;resultado_ent4;entidad;desc_ent;municipio;desc_mun;region;edad;sexo;peso_tortilla_maiz;peso_tortilla_trigo;consumo_semejante;ponderador;estrato;estrato_seleccion;upm;grupo
2022_01001155;2022_01001155_01;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;49;Mujer;28.0;29.0;Mayor;16329.2802916334;Metropolitano (100mil y + Hab);13;0100100012687;Adolescentes y Adultos
2022_01001194;2022_01001194_01;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;43;Mujer;;;Igual;136870.972508855;Metropolitano (100mil y + Hab);13;0100100013098;Adolescentes y Adultos
2022_01001206;2022_01001206_01;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;57;Mujer;24.0;;Igual;16003.8584691401;Metropolitano (100mil y + Hab);13;0100100013882;Adolescentes y Adultos
2022_01002008;2022_01002008_05;1;0;0;0;1;01 AGUASCALIENTES;2;002 ASIENTOS;Centro Norte;19;Mujer;23.0;;Menor;20243.6850996827;Rural  ( <2500 Hab );11;0100200000029;Adolescentes y Adultos
2022_01002010;2022_01002010_03;1;0;0;0;1;01 AGUASCALIENTES;2;002 ASIENTOS;Centro Norte;20;Mujer;25.0;33.0;Menor;13347.9142132638;Rural  ( <2500 Hab );11;0100200000029;Adolescentes y Adultos
2022_01002011;2022_01002011_01;2;1;0;0;1;01 AGUASCALIENTES;2;002 ASIENTOS;Centro Norte;19;Mujer;;;Igual;20243.6850996827;Rural  ( <2500 Hab );11;0100200000029;Adolescentes y Adultos
2022_01002012;2022_01002012_02;2;1;0;0;1;01 AGUASCALIENTES;2;002 ASIENTOS;Centro Norte;29;Mujer;23.0;;Igual;26695.8284265277;Rural  ( <2500 Hab );11;0100200000029;Adolescentes y Adultos
2022_01002021;2022_01002021_02;1;0;0;0;1;01 AGUASCALIENTES;2;002 ASIENTOS;Centro Norte;47;Mujer;30.0;;Igual;14852.2485106239;Rural  ( <2500 Hab );11;0100200000029;Adolescentes y Adultos
2022_01005004;2022_01005004_03;1;0;0;0;1;01 AGUASCALIENTES;5;005 JESÚS MARÍA;Centro Norte;27;Mujer;23.0;;Igual;99636.443185492;Urbano ( 2500-99,999 Hab);12;0100500010247;Adolescentes y Adultos
2022_01005004;2022_01005004_05;1;0;0;0;1;01 AGUASCALIENTES;5;005 JESÚS MARÍA;Centro Norte;15;Hombre;22.0;;Igual;40646.8432150729;Urbano ( 2500-99,999 Hab);12;0100500010247;Adolescentes y Adultos
2022_01005005;2022_01005005_01;2;1;0;0;1;01 AGUASCALIENTES;5;005 JESÚS MARÍA;Centro Norte;53;Mujer;20.0;;Igual;27481.2008198493;Urbano ( 2500-99,999 Hab);12;0100500010247;Adolescentes y Adultos
2022_01005007;2022_01005007_05;1;0;0;0;1;01 AGUASCALIENTES;5;005 JESÚS MARÍA;Centro Norte;12;Hombre;27.0;;Igual;71181.066016734;Urbano ( 2500-99,999 Hab);12;0100500010247;Adolescentes y Adultos
2022_01005019;2022_01005019_01;2;1;0;0;1;01 AGUASCALIENTES;5;005 JESÚS MARÍA;Centro Norte;22;Mujer;38.0;;Igual;34101.2151227695;Urbano ( 2500-99,999 Hab);12;0100500010247;Adolescentes y Adultos
2022_01006001;2022_01006001_04;1;0;0;0;1;01 AGUASCALIENTES;6;006 PABELLÓN DE ARTEAGA;Centro Norte;17;Hombre;28.0;;Igual;45946.6707768964;Urbano ( 2500-99,999 Hab);12;0100600010282;Adolescentes y Adultos
2022_01006010;2022_01006010_03;1;0;0;0;1;01 AGUASCALIENTES;6;006 PABELLÓN DE ARTEAGA;Centro Norte;21;Mujer;19.0;;Igual;64797.9887153753;Urbano ( 2500-99,999 Hab);12;0100600010282;Adolescentes y Adultos
2022_01009014;2022_01009014_02;1;0;0;0;1;01 AGUASCALIENTES;9;009 TEPEZALÁ;Centro Norte;61;Mujer;28.0;;Igual;20145.2915888627;Rural  ( <2500 Hab );11;010090000002A;Adolescentes y Adultos
2022_01009019;2022_01009019_01;1;0;0;0;1;01 AGUASCALIENTES;9;009 TEPEZALÁ;Centro Norte;73;Hombre;24.0;;Igual;64752.3777765656;Rural  ( <2500 Hab );11;010090000002A;Adolescentes y Adultos
2022_01009030;2022_01009030_01;1;0;0;0;1;01 AGUASCALIENTES;9;009 TEPEZALÁ;Centro Norte;42;Mujer;29.0;;Igual;15083.0066282618;Rural  ( <2500 Hab );11;010090000002A;Adolescentes y Adultos
2022_02001003;2022_02001003_04;1;0;0;0;2;02 BAJA CALIFORNIA;1;001 ENSENADA;Pacifico-Norte;32;Mujer;0.0;;Igual;215463.117866307;Metropolitano (100mil y + Hab);23;0200100017377;Adolescentes y Adultos
2022_02001039;2022_02001039_02;1;0;0;0;2;02 BAJA CALIFORNIA;1;001 ENSENADA;Pacifico-Norte;38;Mujer;30.0;;Igual;58679.3172061432;Metropolitano (100mil y + Hab);23;0200100018445;Adolescentes y Adultos
2022_02001046;2022_02001046_02;1;0;0;0;2;02 BAJA CALIFORNIA;1;001 ENSENADA;Pacifico-Norte;49;Mujer;32.0;;Igual;58785.4248967553;Metropolitano (100mil y + Hab);23;0200100018445;Adolescentes y Adultos
2022_02001048;2022_02001048_02;1;0;0;0;2;02 BAJA CALIFORNIA;1;001 ENSENADA;Pacifico-Norte;66;Mujer;30.0;;Igual;40835.3637596762;Metropolitano (100mil y + Hab);23;0200100018445;Adolescentes y Adultos
2022_02001049;2022_02001049_03;1;0;0;0;2;02 BAJA CALIFORNIA;1;001 ENSENADA;Pacifico-Norte;16;Mujer;34.0;;Igual;53902.00953599;Metropolitano (100mil y + Hab);23;0200100018445;Adolescentes y Adultos
2022_02001059;2022_02001059_01;1;0;0;0;2;02 BAJA CALIFORNIA;1;001 ENSENADA;Pacifico-Norte;56;Hombre;32.0;;Igual;93366.6177795314;Metropolitano (100mil y + Hab);23;0200100018445;Adolescentes y Adultos
2022_02002008;2022_02002008_01;7;1;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;63;Mujer;32.0;34.0;Igual;100727.877641176;Metropolitano (100mil y + Hab);23;0200200010108;Adolescentes y Adultos
2022_02002039;2022_02002039_03;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;59;Mujer;31.0;48.0;Igual;103654.824264423;Metropolitano (100mil y + Hab);23;0200200016126;Adolescentes y Adultos
2022_02002039;2022_02002039_04;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;12;Hombre;31.0;48.0;Igual;66511.6783900111;Metropolitano (100mil y + Hab);23;0200200016126;Adolescentes y Adultos
2022_02002042;2022_02002042_01;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;34;Hombre;52.0;34.0;Igual;281230.431912982;Metropolitano (100mil y + Hab);23;0200200016126;Adolescentes y Adultos
2022_02002049;2022_02002049_01;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;48;Hombre;38.0;0.0;Igual;236950.115948904;Metropolitano (100mil y + Hab);23;0200200016126;Adolescentes y Adultos
2022_02002056;2022_02002056_02;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;59;Mujer;36.0;34.0;Igual;114170.001928443;Metropolitano (100mil y + Hab);23;0200200016126;Adolescentes y Adultos
2022_02002080;2022_02002080_03;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;22;Mujer;28.0;0.0;Igual;43030.034432269;Metropolitano (100mil y + Hab);23;0200200016183;Adolescentes y Adultos
2022_02002084;2022_02002084_04;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;12;Hombre;28.0;40.0;Igual;116556.508244778;Metropolitano (100mil y + Hab);23;0200200016183;Adolescentes y Adultos
2022_02002088;2022_02002088_01;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;44;Hombre;24.0;45.0;Igual;89074.4259048468;Metropolitano (100mil y + Hab);23;0200200016183;Adolescentes y Adultos
2022_02002088;2022_02002088_02;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;16;Mujer;24.0;45.0;Igual;76340.3469061847;Metropolitano (100mil y + Hab);23;0200200016183;Adolescentes y Adultos
2022_02002100;2022_02002100_02;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;43;Mujer;32.0;34.0;Menor;60073.5965697305;Metropolitano (100mil y + Hab);23;0200200016183;Adolescentes y Adultos
2022_02002105;2022_02002105_01;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;35;Hombre;34.0;32.0;Igual;281230.431912982;Metropolitano (100mil y + Hab);23;0200200016605;Adolescentes y Adultos
2022_02002161;2022_02002161_02;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;55;Mujer;34.0;52.0;Igual;67506.3600352598;Rural  ( <2500 Hab );21;0200200003511;Adolescentes y Adultos
2022_02002163;2022_02002163_02;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;49;Hombre;28.0;;Igual;106811.140322668;Rural  ( <2500 Hab );21;0200200003511;Adolescentes y Adultos
2022_02002164;2022_02002164_03;1;0;0;0;2;02 BAJA CALIFORNIA;2;002 MEXICALI;Pacifico-Norte;28;Hombre;33.0;;Igual;143447.023829992;Rural  ( <2500 Hab );21;0200200003511;Adolescentes y Adultos
2022_02003013;2022_02003013_01;1;0;0;0;2;02 BAJA CALIFORNIA;3;003 TECATE;Pacifico-Norte;44;Mujer;24.0;;Igual;67158.7158948841;Urbano ( 2500-99,999 Hab);22;0200300011071;Adolescentes y Adultos
2022_02003016;2022_02003016_01;1;0;0;0;2;02 BAJA CALIFORNIA;3;003 TECATE;Pacifico-Norte;65;Mujer;26.0;;Igual;191187.474883035;Urbano ( 2500-99,999 Hab);22;0200300011071;Adolescentes y Adultos
2022_02003019;2022_02003019_01;1;0;0;0;2;02 BAJA CALIFORNIA;3;003 TECATE;Pacifico-Norte;63;Mujer;29.0;46.0;Mayor;95593.7374415174;Urbano ( 2500-99,999 Hab);22;0200300011071;Adolescentes y Adultos
2022_02003045;2022_02003045_01;1;0;0;0;2;02 BAJA CALIFORNIA;3;003 TECATE;Pacifico-Norte;21;Hombre;34.0;30.0;Menor;170211.850291297;Urbano ( 2500-99,999 Hab);22;0200300011071;Adolescentes y Adultos
2022_02003046;2022_02003046_01;1;0;0;0;2;02 BAJA CALIFORNIA;3;003 TECATE;Pacifico-Norte;41;Mujer;34.0;30.0;Igual;29166.0709029211;Urbano ( 2500-99,999 Hab);22;0200300011071;Adolescentes y Adultos
2022_02003052;2022_02003052_03;1;0;0;0;2;02 BAJA CALIFORNIA;3;003 TECATE;Pacifico-Norte;24;Hombre;32.0;28.0;Igual;85105.9251456487;Urbano ( 2500-99,999 Hab);22;0200300011071;Adolescentes y Adultos
2022_02004003;2022_02004003_03;1;0;0;0;2;02 BAJA CALIFORNIA;4;004 TIJUANA;Pacifico-Norte;18;Mujer;38.0;;Mayor;31102.3713124471;Metropolitano (100mil y + Hab);23;0200400012310;Adolescentes y Adultos
2022_02004022;2022_02004022_01;1;0;0;0;2;02 BAJA CALIFORNIA;4;004 TIJUANA;Pacifico-Norte;30;Hombre;34.0;999.0;Mayor;71236.8176560446;Metropolitano (100mil y + Hab);23;0200400012310;Adolescentes y Adultos
2022_02004035;2022_02004035_03;1;0;0;0;2;02 BAJA CALIFORNIA;4;004 TIJUANA;Pacifico-Norte;26;Hombre;0.0;;Igual;135950.745984548;Metropolitano (100mil y + Hab);23;0200400012310;Adolescentes y Adultos
2022_02004082;2022_02004082_01;1;0;0;0;2;02 BAJA CALIFORNIA;4;004 TIJUANA;Pacifico-Norte;43;Mujer;38.0;35.0;Igual;170609.365360294;Metropolitano (100mil y + Hab);23;0200400013681;Adolescentes y Adultos
2022_02004100;2022_02004100_04;1;0;0;0;2;02 BAJA CALIFORNIA;4;004 TIJUANA;Pacifico-Norte;60;Mujer;0.0;0.0;Igual;157998.200080252;Metropolitano (100mil y + Hab);23;0200400013681;Adolescentes y Adultos
2022_03003005;2022_03003005_01;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;21;Hombre;32.0;;Igual;15626.3693953359;Metropolitano (100mil y + Hab);33;0300300011964;Adolescentes y Adultos
2022_03003014;2022_03003014_04;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;16;Mujer;28.0;25.0;Igual;8745.55063078552;Metropolitano (100mil y + Hab);33;0300300011964;Adolescentes y Adultos
2022_03003036;2022_03003036_02;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;26;Mujer;32.0;;Igual;14323.508094045;Metropolitano (100mil y + Hab);33;0300300013797;Adolescentes y Adultos
2022_03003039;2022_03003039_03;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;46;Hombre;25.0;;Igual;19811.3433087482;Metropolitano (100mil y + Hab);33;0300300013797;Adolescentes y Adultos
2022_03003042;2022_03003042_06;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;12;Hombre;25.0;;Igual;16949.6622271904;Metropolitano (100mil y + Hab);33;0300300013797;Adolescentes y Adultos
2022_03003045;2022_03003045_02;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;31;Hombre;26.0;32.0;Igual;24407.4438721816;Metropolitano (100mil y + Hab);33;0300300013797;Adolescentes y Adultos
2022_03003081;2022_03003081_01;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;19;Hombre;25.0;;Igual;36369.9612464755;Metropolitano (100mil y + Hab);33;0300300015420;Adolescentes y Adultos
2022_03003082;2022_03003082_01;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;68;Mujer;31.0;999.0;Igual;14170.1503884822;Metropolitano (100mil y + Hab);33;0300300015420;Adolescentes y Adultos
2022_03003087;2022_03003087_01;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;40;Hombre;0.0;;Igual;91101.3111059653;Metropolitano (100mil y + Hab);33;0300300015420;Adolescentes y Adultos
2022_03003098;2022_03003098_01;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;66;Mujer;35.0;;Igual;11613.2406055835;Metropolitano (100mil y + Hab);33;0300300016503;Adolescentes y Adultos
2022_03003100;2022_03003100_02;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;36;Mujer;38.0;35.0;Igual;9721.18540432522;Metropolitano (100mil y + Hab);33;0300300016503;Adolescentes y Adultos
2022_03003104;2022_03003104_01;2;2;1;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;32;Hombre;37.0;;Igual;26345.1800578381;Metropolitano (100mil y + Hab);33;0300300016503;Adolescentes y Adultos
2022_03003107;2022_03003107_02;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;69;Mujer;28.0;48.0;Igual;17105.4199307308;Metropolitano (100mil y + Hab);33;0300300016503;Adolescentes y Adultos
2022_03003107;2022_03003107_03;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;24;Hombre;26.0;48.0;Igual;26345.1800578381;Metropolitano (100mil y + Hab);33;0300300016503;Adolescentes y Adultos
2022_03003112;2022_03003112_01;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;47;Mujer;25.0;;Igual;11613.2406055835;Metropolitano (100mil y + Hab);33;0300300016503;Adolescentes y Adultos
2022_03003151;2022_03003151_07;1;0;0;0;3;03 BAJA CALIFORNIA SUR;3;003 LA PAZ;Pacifico-Norte;20;Mujer;26.0;30.0;Menor;53269.5450905947;Urbano ( 2500-99,999 Hab);32;0300306840097;Adolescentes y Adultos
2022_03008054;2022_03008054_04;1;0;0;0;3;03 BAJA CALIFORNIA SUR;8;008 LOS CABOS;Pacifico-Norte;19;Mujer;;999.0;Menor;28681.5538251407;Metropolitano (100mil y + Hab);33;030080054091A;Adolescentes y Adultos
2022_03008091;2022_03008091_03;1;0;0;0;3;03 BAJA CALIFORNIA SUR;8;008 LOS CABOS;Pacifico-Norte;13;Mujer;26.0;;Igual;8745.55063078552;Metropolitano (100mil y + Hab);33;0300800542530;Adolescentes y Adultos
2022_04001035;2022_04001035_01;1;0;0;0;4;04 CAMPECHE;1;001 CALKINÍ;Península;28;Hombre;22.0;;Igual;45538.628200299;Urbano ( 2500-99,999 Hab);42;0400100070186;Adolescentes y Adultos
2022_04001039;2022_04001039_04;1;0;0;0;4;04 CAMPECHE;1;001 CALKINÍ;Península;17;Mujer;13.0;;Mayor;61225.3623457001;Urbano ( 2500-99,999 Hab);42;0400100070186;Adolescentes y Adultos
2022_04001044;2022_04001044_05;2;1;0;0;4;04 CAMPECHE;1;001 CALKINÍ;Península;12;Hombre;22.0;;Igual;44814.1178297755;Urbano ( 2500-99,999 Hab);42;0400100070186;Adolescentes y Adultos
2022_04002033;2022_04002033_02;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;26;Hombre;16.0;;Igual;167987.231848757;Metropolitano (100mil y + Hab);43;0400200011302;Adolescentes y Adultos
2022_04002078;2022_04002078_04;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;18;Mujer;13.0;;Igual;76054.6068977208;Metropolitano (100mil y + Hab);43;0400200011603;Adolescentes y Adultos
2022_04002113;2022_04002113_02;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;43;Hombre;14.0;;Igual;87121.4397850781;Metropolitano (100mil y + Hab);43;0400200011923;Adolescentes y Adultos
2022_04002113;2022_04002113_03;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;13;Hombre;14.0;;Mayor;31126.4887128795;Metropolitano (100mil y + Hab);43;0400200011923;Adolescentes y Adultos
2022_04002117;2022_04002117_02;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;42;Mujer;19.0;;Igual;161284.062783813;Metropolitano (100mil y + Hab);43;0400200011923;Adolescentes y Adultos
2022_04002120;2022_04002120_01;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;47;Hombre;18.0;;Igual;21979.1153611521;Rural  ( <2500 Hab );41;0400200000766;Adolescentes y Adultos
2022_04002132;2022_04002132_02;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;66;Mujer;17.0;;Igual;21079.5080805274;Rural  ( <2500 Hab );41;0400200000766;Adolescentes y Adultos
2022_04002141;2022_04002141_05;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;13;Hombre;18.0;;Igual;29200.7188428562;Rural  ( <2500 Hab );41;040020000079A;Adolescentes y Adultos
2022_04002143;2022_04002143_02;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;37;Hombre;15.0;;Igual;20781.3478204367;Rural  ( <2500 Hab );41;040020000079A;Adolescentes y Adultos
2022_04002160;2022_04002160_02;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;28;Mujer;22.0;18.0;Igual;19836.4728234218;Rural  ( <2500 Hab );41;0400200000766;Adolescentes y Adultos
2022_04002162;2022_04002162_01;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;69;Mujer;18.0;;Igual;12001.6952324862;Rural  ( <2500 Hab );41;0400200000766;Adolescentes y Adultos
2022_04002185;2022_04002185_03;4;1;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;13;Mujer;22.0;;Menor;28736.9668903079;Rural  ( <2500 Hab );41;040020000079A;Adolescentes y Adultos
2022_04002186;2022_04002186_04;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;12;Mujer;16.0;;Mayor;57473.9337806157;Rural  ( <2500 Hab );41;040020000079A;Adolescentes y Adultos
2022_04002190;2022_04002190_01;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;59;Hombre;15.0;;Igual;11828.3981029054;Rural  ( <2500 Hab );41;040020000079A;Adolescentes y Adultos
2022_04002192;2022_04002192_02;1;0;0;0;4;04 CAMPECHE;2;002 CAMPECHE;Península;16;Hombre;18.0;;Mayor;28365.8668976615;Rural  ( <2500 Hab );41;040020000079A;Adolescentes y Adultos
2022_04004010;2022_04004010_02;1;0;0;0;4;04 CAMPECHE;4;004 CHAMPOTÓN;Península;26;Hombre;26.0;;Igual;49910.9269927609;Urbano ( 2500-99,999 Hab);42;0400400911985;Adolescentes y Adultos
2022_04004012;2022_04004012_01;1;0;0;0;4;04 CAMPECHE;4;004 CHAMPOTÓN;Península;33;Mujer;21.0;;Menor;14103.4287990114;Urbano ( 2500-99,999 Hab);42;0400400911985;Adolescentes y Adultos
2022_04004018;2022_04004018_01;1;0;0;0;4;04 CAMPECHE;4;004 CHAMPOTÓN;Península;77;Hombre;22.0;;Igual;26816.9441221286;Urbano ( 2500-99,999 Hab);42;0400400911985;Adolescentes y Adultos
2022_04008007;2022_04008007_03;1;0;0;0;4;04 CAMPECHE;8;008 TENABO;Península;18;Hombre;18.0;;Menor;18525.7650649663;Urbano ( 2500-99,999 Hab);42;0400800010223;Adolescentes y Adultos
2022_04008009;2022_04008009_02;1;0;0;0;4;04 CAMPECHE;8;008 TENABO;Península;55;Mujer;18.0;;Mayor;11895.5605304362;Urbano ( 2500-99,999 Hab);42;0400800010223;Adolescentes y Adultos
2022_04008017;2022_04008017_01;1;0;0;0;4;04 CAMPECHE;8;008 TENABO;Península;36;Hombre;26.0;;Igual;25480.358790896;Urbano ( 2500-99,999 Hab);42;0400800010223;Adolescentes y Adultos
2022_04008033;2022_04008033_02;1;0;0;0;4;04 CAMPECHE;8;008 TENABO;Península;46;Mujer;20.0;;Igual;15306.3683142211;Urbano ( 2500-99,999 Hab);42;0400800010223;Adolescentes y Adultos
2022_04008036;2022_04008036_01;1;0;0;0;4;04 CAMPECHE;8;008 TENABO;Península;53;Hombre;22.0;;Igual;14503.628734993;Urbano ( 2500-99,999 Hab);42;0400800010223;Adolescentes y Adultos
2022_05002005;2022_05002005_04;1;0;0;0;5;05 COAHUILA DE ZARAGOZA;2;002 ACUÑA;Frontera;14;Hombre;24.0;;Igual;111676.619820879;Metropolitano (100mil y + Hab);53;0500200013498;Adolescentes y Adultos
2022_05002020;2022_05002020_02;1;0;0;0;5;05 COAHUILA DE ZARAGOZA;2;002 ACUÑA;Frontera;31;Mujer;24.0;;Igual;191393.520707485;Metropolitano (100mil y + Hab);53;0500200013498;Adolescentes y Adultos
2022_05017003;2022_05017003_03;1;0;0;0;5;05 COAHUILA DE ZARAGOZA;17;017 MATAMOROS;Frontera;25;Hombre;24.0;40.0;Menor;99462.6243445797;Urbano ( 2500-99,999 Hab);52;0501700010301;Adolescentes y Adultos
2022_05017027;2022_05017027_02;1;0;0;0;5;05 COAHUILA DE ZARAGOZA;17;017 MATAMOROS;Frontera;20;Hombre;36.0;;Menor;95299.8470980154;Urbano ( 2500-99,999 Hab);52;0501700010301;Adolescentes y Adultos
2022_05024003;2022_05024003_02;1;0;0;0;5;05 COAHUILA DE ZARAGOZA;24;024 PARRAS;Frontera;42;Mujer;99.9;99.9;Igual;113506.648402945;Urbano ( 2500-99,999 Hab);52;0502400012088;Adolescentes y Adultos
2022_05027004;2022_05027004_01;1;0;0;0;5;05 COAHUILA DE ZARAGOZA;27;027 RAMOS ARIZPE;Frontera;52;Mujer;26.0;;Igual;22029.9999240021;Metropolitano (100mil y + Hab);53;0502700011594;Adolescentes y Adultos
2022_05027009;2022_05027009_03;1;0;0;0;5;05 COAHUILA DE ZARAGOZA;27;027 RAMOS ARIZPE;Frontera;22;Hombre;24.0;999.9;Igual;40370.3446737227;Metropolitano (100mil y + Hab);53;0502700011594;Adolescentes y Adultos
